// Elemental Database
//
// Structure of Database:
// ID,Sprite_Name,Name,LV,HP,SP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Speed,aDelay,aMotion,dMotion
// Agni
2114,EL_AGNI_S,Agni,100,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,0,0,83,200,1000,500,300
2115,EL_AGNI_M,Agni,100,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,1,0,83,200,1000,500,300
2116,EL_AGNI_L,Agni,100,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,2,0,83,200,1000,500,300
// Aqua
2117,EL_AQUA_S,Aqua,100,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,0,0,81,200,1000,500,300
2118,EL_AQUA_M,Aqua,100,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,1,0,81,200,1000,500,300
2119,EL_AQUA_L,Aqua,100,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,2,0,81,200,1000,500,300
// Ventus
2120,EL_VENTUS_S,Ventus,100,1,1,4,1,1,1,1,1,1,1,1,1,1,5,7,0,0,84,200,1000,500,300
2121,EL_VENTUS_M,Ventus,100,1,1,4,1,1,1,1,1,1,1,1,1,1,5,7,1,0,84,200,1000,500,300
2122,EL_VENTUS_L,Ventus,100,1,1,4,1,1,1,1,1,1,1,1,1,1,5,7,2,0,84,200,1000,500,300
// Tera
2123,EL_TERA_S,Tera,100,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,0,0,82,200,1000,500,300
2124,EL_TERA_M,Tera,100,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,1,0,82,200,1000,500,300
2125,EL_TERA_L,Tera,100,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,2,0,82,200,1000,500,300
